E02.319.267.082 [E02.319.267.082.500, E02.319.267.082.750, ]
D12.776.543.750.720.360 [D12.776.543.750.720.360.500, D12.776.543.750.720.360.550, ]
A06.407.312.497 [A06.407.312.497.278, A06.407.312.497.535, ]
E04.270.282 [E04.270.282.679, E04.270.282.685, ]
D12.776.543.750.720.600.150 [D12.776.543.750.720.600.150.625, D12.776.543.750.720.600.150.687, ]
E05.242.195 [E05.242.195.107, E05.242.195.870, ]
E01.370.225.500.195 [E01.370.225.500.195.107, E01.370.225.500.195.870, ]
G04.170 [G04.170.107, G04.170.870, ]
G07.700.320.500.550 [G07.700.320.500.550.750, G07.700.320.500.550.500, ]
A05.360.319.114.630 [A05.360.319.114.630.278, A05.360.319.114.630.535, ]
B01.050.150.900.649.189 [B01.050.150.900.649.189.865, B01.050.150.900.649.189.566, B01.050.150.900.649.189.267, ]
D12.776.543.750.750.555.150 [D12.776.543.750.750.555.150.750, D12.776.543.750.750.555.150.875, ]
E02.585 [E02.585.412, E02.585.578, ]
D12.776.543.750.100.047 [D12.776.543.750.100.047.625, D12.776.543.750.100.047.687, ]
D12.776.543.750.750.130 [D12.776.543.750.750.130.750, D12.776.543.750.750.130.875, ]
E05.200.500.195 [E05.200.500.195.107, E05.200.500.195.870, ]
E05.497 [E05.497.412, E05.497.578, ]
A05.810.453.736 [A05.810.453.736.520, A05.810.453.736.560, ]
B01.050.150.900.493.200.244 [B01.050.150.900.493.200.244.248, B01.050.150.900.493.200.244.828, ]
E04.950.165 [E04.950.165.679, E04.950.165.685, ]
B01.050.150.900.493.817.750 [B01.050.150.900.493.817.750.825, B01.050.150.900.493.817.750.705, ]
G07.700.320.750 [G07.700.320.750.437, G07.700.320.750.750, G07.700.320.750.500, ]
