IS_ARTICLE_PHRASE,IS_ARTICLE,IS_FINDING,IS_INDICATOR,IS_INDICATOR_NEG,IS_LITAGION,IS_ACTION,IS_ACTION_NEG,IS_HARM,IS_NEG_PHRASE,IS_NEG_MOD,IS_NEG_QUAL,IS_ADJ,IS_ADJ_NEG,IS_COHORT,IS_THERAPY,IS_QUALIFIER,IS_TOXIC
the model,result,show,associate,unrelated,exposure,affect,unaffected,death,did not,no,little,increasingly,insignificant,cohort,treat,yet,risk
these model,results,indicate,associates,unassociated,exposures,affects,unchanged,incidence,does not,not,small,significant,insignificance,cohorts,treats,but,toxic
,conclusion,support,associated,unfounded,toxicant,affected,unaltered,incidences,do not,null,slight,significantly,insignificantly,,anticancer,however,death
the result,finding,conclude,association,unlikely,toxicants,affecting,unrelated,toxicity,was not,nor,minor,strongly,equivocal,,treatment,though,damage
these results,conclusion,confirm,associating,,,cause,,damage,is not,neither,,severe,equivocally,,protect,although,damaging
in summary,summary,find,,,,causes,,risk,are not,fail,,severely,unlikely,,protects,whereas,effect
,conclusions,demonstrate,find,,,caused,,,no effect,failed,,strong,,,protected,dose,toxin
our result,findings,shows,finds,,,causation,,,were not,fails,,definitive,,,protection,doses,
the analysis,,shown,found,,,causing,,,no effects,unlikely,,definitively,,,,dosage,
these analyses,,showed,,,,alter,,,,without,,statistically,,,protecting,,
we summarize,,indicated,,,,alters,,,without effect,cannot,,,,,protective,,
in conclusion,,indicates,evidence,,,altered,,,but not,,,,,,treated,,
these findings,,showing,indicate,,,altering,,,but no,,,,,,treating,,
this finding,,indicating,indicates,,,inhibit,,,,,,,,,therapy,,
we conclude,,indication,indicated,,,inhibits,,,,,,,,,therapies,,
our finding,,supporting,indication ,,,inhibited,,,,,,,,,therapeutic,,
our analysis,,supported,indicating,,,inhibiting,,,,,,,,,,,
our analyses,,supports,show,,,disrupt,,,,,,,,,,,
effect,,concluding,shows,,,disrupts,,,,,,,,,,,
effects,,conclusion,showed,,,disrupted,,,,,,,,,,,
,,concludes,showing,,,disruption,,,,,,,,,,,
,,concluded,suggest,,,disrupting,,,,,,,,,,,
,,confirming,suggests,,,block,,,,,,,,,,,
,,confirms,suggested,,,blocks,,,,,,,,,,,
,,confirmed,suggesting,,,blocked,,,,,,,,,,,
,,confirmation,support,,,blocking,,,,,,,,,,,
,,finding,supports,,,impact,,,,,,,,,,,
,,findings,supported,,,impacs,,,,,,,,,,,
,,found,supporting,,,impacted,,,,,,,,,,,
,,finds,supportive,,,impacting,,,,,,,,,,,
,,demonstrated,,,,exacerbate,,,,,,,,,,,
,,demonstrates,,,,exacerbates,,,,,,,,,,,
,,demonstrating,correlate,,,exacerbated,,,,,,,,,,,
,,suggest,correlated,,,exacerbation,,,,,,,,,,,
,,suggests,correlation,,,exacerbating,,,,,,,,,,,
,,reveal,correlations,,,exert,,,,,,,,,,,
,,revealed,detect,,,exerts,,,,,,,,,,,
,,reveals,detects,,,exerted,,,,,,,,,,,
,,conclusive,detected,,,change,,,,,,,,,,,
,,supportive,demonstrate,,,changes,,,,,,,,,,,
,,,demonstrates,,,changed,,,,,,,,,,,
,,,demonstrated,,,changing,,,,,,,,,,,
,,,demonstrating,,,contribute,,,,,,,,,,,
,,,report,,,contributes,,,,,,,,,,,
,,,reports,,,contributed,,,,,,,,,,,
,,,reported,,,contributing,,,,,,,,,,,
,,,reporting,,,induce,,,,,,,,,,,
,,,reveal,,,induces,,,,,,,,,,,
,,,reveals,,,induced,,,,,,,,,,,
,,,revealed,,,inducing,,,,,,,,,,,
,,,revealing,,,lower,,,,,,,,,,,
,,,confirm,,,lowers,,,,,,,,,,,
,,,confirms,,,lowered,,,,,,,,,,,
,,,confirmed,,,lowering,,,,,,,,,,,
,,,confirming,,,increase,,,,,,,,,,,
,,,establish,,,increases,,,,,,,,,,,
,,,establishes,,,increased,,,,,,,,,,,
,,,established,,,increasing,,,,,,,,,,,
,,,establishing,,,decrease,,,,,,,,,,,
,,,imply,,,decreases,,,,,,,,,,,
,,,implies,,,decreased,,,,,,,,,,,
,,,implied,,,decreasing,,,,,,,,,,,
,,,implying,,,produced,,,,,,,,,,,
,,,evident,,,reduce,,,,,,,,,,,
,,,attribute,,,reduces,,,,,,,,,,,
,,,attributed,,,reduced,,,,,,,,,,,
,,,,,,reducing,,,,,,,,,,,
,,,concluding,,,elevate,,,,,,,,,,,
,,,conclusion,,,elevates,,,,,,,,,,,
,,,concludes,,,elevated,,,,,,,,,,,
,,,concluded,,,elevating,,,,,,,,,,,
,,,conclude,,,developed,,,,,,,,,,,
,,,,,,exibit,,,,,,,,,,,
,,,,,,exibits,,,,,,,,,,,
,,,,,,exibited,,,,,,,,,,,
,,,,,,exibiting,,,,,,,,,,,
,,,,,,related,,,,,,,,,,,
,,,,,,play,,,,,,,,,,,
,,,,,,plays,,,,,,,,,,,
,,,,,,played,,,,,,,,,,,
,,,,,,playing,,,,,,,,,,,
