PMID	Mesh	Concept	TREE
10746942	Humans	D006801	B01.050.150.900.649.801.400.112.400.400
10746942	Female	D005260	C0015780
10746942	Rats	D051381	C0034721
10746942	Animals	D000818	C0003062
10746942	octylphenol	C474055	C1258354
10746942	nonylphenol	C025256	C0068946
10746942	4-nonylphenol	C041594	C0097405
10746942	4-tert-octylphenol	C105260	C0537565
10746942	bisphenol A	C006780	C0053800
10746942	Receptors, Progesterone	D011980	D12.776.260.698.750.765;D12.776.826.750.765;D12.776.930.669.750.765
10746942	Estradiol	D004958	D04.808.365.415.248;D06.472.334.851.437.500
10746942	Estrogen	D004967	D27.505.696.399.472.277
10746942	Endocrine Disruptors	D052244	D27.505.696.353;D27.888.141
10746942	Methoxychlor	D008731	D02.455.526.439.610
10746942	Promegestone	D011397	D04.808.668.651.443.680
10746942	Rats, Long-Evans	D020318	B01.050.150.900.649.865.635.505.700.500
10746942	Ethinyl Estradiol	D004997	D04.808.668.651.568.291;D06.472.334.851.437.968.500
10746942	Diestrus	D004031	G08.686.195.374
10746942	Attention	D001288	F02.830.104.214
10746942	Reproducibility of Results	D015203	E05.318.780.725;E05.337.851;N05.715.360.780.685;N06.850.520.445.725
10746942	Phenols	D010636	D02.455.426.559.389.657
10746942	Benzhydryl Compounds	D001559	D02.455.426.559.389.115
10746942	Receptors, Estrogen	D011960	D12.776.260.698.750.350;D12.776.826.750.350;D12.776.930.669.750.350
10746942	Uterus	D014599	A05.360.319.679
10746942	Estrus	D004971	G08.686.195.500
10746942	Epithelial Cells	D004847	A11.436
10746942	Humans	D006801	B01.050.150.900.649.801.400.112.400.400
10746942	Female	D005260	C0015780
10746942	Rats	D051381	C0034721
10746942	Animals	D000818	C0003062
10746942	octylphenol	C474055	C1258354
10746942	nonylphenol	C025256	C0068946
10746942	4-nonylphenol	C041594	C0097405
10746942	4-tert-octylphenol	C105260	C0537565
10746942	bisphenol A	C006780	C0053800
10746942	Receptors, Progesterone	D011980	D12.776.260.698.750.765;D12.776.826.750.765;D12.776.930.669.750.765
10746942	Estradiol	D004958	D04.808.365.415.248;D06.472.334.851.437.500
10746942	Estrogen	D004967	D27.505.696.399.472.277
10746942	Endocrine Disruptors	D052244	D27.505.696.353;D27.888.141
10746942	Methoxychlor	D008731	D02.455.526.439.610
10746942	Promegestone	D011397	D04.808.668.651.443.680
10746942	Rats, Long-Evans	D020318	B01.050.150.900.649.865.635.505.700.500
10746942	Ethinyl Estradiol	D004997	D04.808.668.651.568.291;D06.472.334.851.437.968.500
10746942	Diestrus	D004031	G08.686.195.374
10746942	Attention	D001288	F02.830.104.214
10746942	Reproducibility of Results	D015203	E05.318.780.725;E05.337.851;N05.715.360.780.685;N06.850.520.445.725
10746942	Phenols	D010636	D02.455.426.559.389.657
10746942	Benzhydryl Compounds	D001559	D02.455.426.559.389.115
10746942	Receptors, Estrogen	D011960	D12.776.260.698.750.350;D12.776.826.750.350;D12.776.930.669.750.350
10746942	Uterus	D014599	A05.360.319.679
10746942	Estrus	D004971	G08.686.195.500
10746942	Epithelial Cells	D004847	A11.436
16641540	Pregnancy	D011247	G08.686.785.760.769
16641540	Female	D005260	C0015780
16641540	Male	D008297	C0024554
16641540	Humans	D006801	B01.050.150.900.649.801.400.112.400.400
16641540	Rats	D051381	C0034721
16641540	Animals	D000818	C0003062
16641540	Endocrine Disruptors	D052244	D27.505.696.353;D27.888.141
16641540	Testosterone	D013739	D04.808.054.079.429.824;D06.472.334.851.968.984
16641540	vinclozolin	C025643	C0078245
16641540	Testis	D013737	A05.360.444.849;A05.360.576.782;A06.407.312.782
16641540	Leydig Cells	D007985	A05.360.444.849.513;A06.407.312.782.513;A11.382.906;A11.436.513
16641540	Cytochrome P-450 CYP2B1	D019362	D08.244.453.040.888;D08.811.682.690.708.170.040.499;D12.776.422.220.453.040.777
16641540	Sexual Maturation	D012741	G07.700.320.750.750;G08.686.785.880.750
16641540	Seminal Vesicles	D012669	A05.360.444.713
16641540	Epididymis	D004822	A05.360.444.371
16641540	Thyroid Gland	D013961	A06.407.900
16641540	Organ Size	D009929	E01.370.600.115.100.660;E05.041.124.715;G07.100.100.660;G07.700.320.249.690
16641540	Prostate	D011467	A05.360.444.575;A10.336.707
16641540	Hyperplasia	D006965	C23.550.444
16641540	Zona Fasciculata	D015383	A06.407.071.140.950
16641540	Theca Cells	D013799	A05.360.319.114.630.535.400;A06.407.312.497.535.600;A11.329.850
16641540	Luteal Cells	D008184	A05.360.319.114.630.278.400;A06.407.312.497.278.400;A11.382.921;A11.436.566
16641540	Weaning	D014886	G07.610.220.500.750;G07.610.593.762;G07.700.620.762
16641540	Zona Glomerulosa	D015384	A06.407.071.140.960
16641540	Nipples	D009558	A01.236.500
16641540	Reproduction	D012098	G08.686.785.760
16641540	Oxazoles	D010080	D03.383.129.462
16641540	Spermatogenesis	D013091	G04.299.151.650.624;G08.686.785.760.310.760
16641540	Androgen Antagonists	D000726	D06.347.065;D27.505.696.399.450.065
16641540	Fertility	D005298	G08.686.210
16641540	Hypertrophy	D006984	C23.300.775
16641540	Male Infertility	D007248	C12.294.365.700
16641540	Infertility	D007246	C12.294.365;C13.351.500.365
16641540	Estrous Cycle	D030762	G08.686.195
16641540	Atrophy	D001284	C23.300.070
16641540	Body Weight	D001835	C23.888.144;E01.370.600.115.100.160.120;E05.041.124.160.750;G07.100.100.160.120;G07.700.320.249.314.120
16641540	Lipids	D008055	D10
16641540	Mucous Membrane	D009092	A10.615.550
10188194	Male	D008297	C0024554
10188194	Humans	D006801	B01.050.150.900.649.801.400.112.400.400
10188194	Animals	D000818	C0003062
10188194	Rats	D051381	C0034721
10188194	Flutamide	D005485	D02.065.199.420
10188194	dichlozolinate	C037268	C0618097
10188194	Dichlorodiphenyl Dichloroethylene	D003633	D02.455.526.439.292
10188194	Diethylhexyl Phthalate	D004051	D02.241.223.805.250
10188194	Dibutyl Phthalate	D003993	D02.241.223.805.225
10188194	Androgen Receptor Antagonists	D059002	D06.347.065.249;D27.505.696.399.450.065.249
10188194	Linuron	D008044	D02.455.426.559.389.703.515;D02.948.681.515
10188194	3,4,5,3',4',5'-hexachlorobiphenyl	C027309	C0046928
10188194	Polychlorinated Biphenyls	D011078	D02.455.426.559.389.185.698;D02.455.526.439.773
10188194	Dihydrotestosterone	D013196	D04.808.054.040.248;D06.472.334.851.968.964
10188194	vinclozolin	C025643	C0078245
10188194	AR protein, human	C410798	C1447749
10188194	Receptors, Androgen	D011944	D12.776.260.698.750.150;D12.776.826.750.150;D12.776.930.669.750.150
10188194	Finasteride	D018120	D04.808.054.079.500;D04.808.925.100.250
10188194	procymidone	C035988	C0072063
10188194	iprodione	C033148	C0123904
10188194	Androgens	D000728	D27.505.696.399.472.161
10188194	Ursidae	D001503	B01.050.150.900.649.147.890
10188194	Ketoconazole	D007654	D03.383.606.560
10188194	Sex Differentiation	D012733	G07.700.320.500.325.377.843;G07.700.320.750.500;G08.686.785.880.500
10188194	Prostate	D011467	A05.360.444.575;A10.336.707
10188194	Hypospadias	D007021	C12.294.494.400;C12.706.516;C13.351.875.466;C16.131.939.516
10188194	Leydig Cells	D007985	A05.360.444.849.513;A06.407.312.782.513;A11.382.906;A11.436.513
10188194	Testis	D013737	A05.360.444.849;A05.360.576.782;A06.407.312.782
10188194	Incidence	D015994	E05.318.308.985.525.375;L01.280.975.525.375;N01.224.935.597.500;N06.850.505.400.975.525.375;N06.850.520.308.985.525.375
10188194	Ligands	D008024	D27.720.470.480
10188194	Nipples	D009558	A01.236.500
10188194	Oxazoles	D010080	D03.383.129.462
10188194	Androgen Antagonists	D000726	D06.347.065;D27.505.696.399.450.065
10188194	Bicyclo Compounds	D001643	D02.455.426.100.080;D04.075.080
10188194	Hydantoins	D006827	D03.383.129.308.432.555
10188194	Aminoimidazole Carboxamide	D000620	D03.383.129.308.030
10188194	Pesticides	D010575	D27.720.031.700;D27.720.723;D27.888.723
10188194	Atrophy	D001284	C23.300.070
10188194	Ethane	D004980	D02.455.326.146.379
10188194	Male	D008297	C0024554
10188194	Humans	D006801	B01.050.150.900.649.801.400.112.400.400
10188194	Animals	D000818	C0003062
10188194	Rats	D051381	C0034721
10188194	Flutamide	D005485	D02.065.199.420
10188194	dichlozolinate	C037268	C0618097
10188194	Dichlorodiphenyl Dichloroethylene	D003633	D02.455.526.439.292
10188194	Diethylhexyl Phthalate	D004051	D02.241.223.805.250
10188194	Dibutyl Phthalate	D003993	D02.241.223.805.225
10188194	Androgen Receptor Antagonists	D059002	D06.347.065.249;D27.505.696.399.450.065.249
10188194	Linuron	D008044	D02.455.426.559.389.703.515;D02.948.681.515
10188194	3,4,5,3',4',5'-hexachlorobiphenyl	C027309	C0046928
10188194	Polychlorinated Biphenyls	D011078	D02.455.426.559.389.185.698;D02.455.526.439.773
10188194	Dihydrotestosterone	D013196	D04.808.054.040.248;D06.472.334.851.968.964
10188194	vinclozolin	C025643	C0078245
10188194	AR protein, human	C410798	C1447749
10188194	Receptors, Androgen	D011944	D12.776.260.698.750.150;D12.776.826.750.150;D12.776.930.669.750.150
10188194	Finasteride	D018120	D04.808.054.079.500;D04.808.925.100.250
10188194	procymidone	C035988	C0072063
10188194	iprodione	C033148	C0123904
10188194	Androgens	D000728	D27.505.696.399.472.161
10188194	Ursidae	D001503	B01.050.150.900.649.147.890
10188194	Ketoconazole	D007654	D03.383.606.560
10188194	Sex Differentiation	D012733	G07.700.320.500.325.377.843;G07.700.320.750.500;G08.686.785.880.500
10188194	Prostate	D011467	A05.360.444.575;A10.336.707
10188194	Hypospadias	D007021	C12.294.494.400;C12.706.516;C13.351.875.466;C16.131.939.516
