is_action,is_ambig_action,is_indicator,is_ambig_indicator,is_litagion
affect,change,associate,unrelated,exposure
affects,changes,associates,,exposures
affected,changed,associated,,toxicant
affecting,changing,association,,toxicants
cause,contribute,associating,,concentration
causes,contributes,conclude,,concentrations
caused,contributed,concludes,,pattern
causation,contributing,concluded,,patterns
causing,induce,conclusion,,
find,induces,conclusions,,
finds,induced,concluding,,
found,inducing,evidence,,
finding,lower,indicate,,
findings,lowers,indicates,,
unaffected,lowered,indicated,,
alter,lowering,indication ,,
alters,unchanged,indicating,,
altered,increase,show,,
altering,increases,shows,,
inhibit,increased,showed,,
inhibits,increasing,showing,,
inhibited,decrease,suggest,,
inhibiting,decreases,suggests,,
disrupt,decreased,suggested,,
disrupts,decreasing,suggesting,,
disrupted,produced,support,,
disruption,reduce,supports,,
disrupting,reduces,supported,,
block,reduced,supporting,,
blocks,reducing,unassociated,,
blocked,elevate,unfounded,,
blocking,elevates,unlikely,,
impact,elevated,correlate,,
impacs,elevating,correlated,,
impacted,developed,correlation,,
impacting,,correlations,,
exacerbate,,detect,,
exacerbates,,detects,,
exacerbated,,detected,,
exacerbation,,demonstrate,,
exacerbating,,demonstrates,,
exert,,demonstrated,,
exerts,,demonstrating,,
exerted,,report,,
is * risk,,reports,,
is not * risk,,reported,,
,,reporting,,
,,reveal,,
,,reveals,,
,,revealed,,
,,revealing,,
,,confirm,,
,,confirms,,
,,confirmed,,
,,confirming,,
,,establish,,
,,establishes,,
,,established,,
,,establishing,,
,,imply,,
,,implies,,
,,implied,,
,,implying,,
