IS_ARTICLE,IS_INDICATOR_P,IS_INDICATOR_N,IS_LITAGION,IS_HARM,IS_CAUSATION_P,IS_CAUSATION_N,IS_NEG_PHRASE,IS_NEG_MOD,IS_MAYBE_PHRASE,IS_MAYBE_MOD,IS_CI,IS_IMPORTANT_P,IS_IMPORTANT_N
study,observe,,litagion,,associate,unassociated,did not,no,might be,might,,treat,insignificant
analysis,show,,exposure,effects,induce,unchanged,does not,not,may be,may,confidence interval,relevant,insignificance
data,suggest,,,cell,contribute,unrelated,do not,,could be,could,,important,
we,conclude,,concentration,death,affect,unfounded,was not,,,,odds ratio,role,decrease
result,find,,exposes,incidence,expose,,is not,,,,,significant,decreasing
results,indicate,,exposed,risk,cause,unaffected,are not,,,,,high,
studies,support,,,,relate,unlikely,no effect,,,,,relevance,reduce
analyses,evidence,,,effect,,unaffected,not affect,,,,,importance,reduction
,evidencing,,,cellular,association,,no effects,,,,,significance,reducing
,shown,,,,induction,,not affected,,,,,,
,,,,,contribution,,,,,,,toxic,
,,,,,,,,,,,,toxicity,
,found,,,,causal,,,,,,,toxicology,
,indicated,,,,causation,,,,,,,increase,
,supported,,,,relation,,,,,,,increasing,
,observation,,,,associating,,,,,,,elevate,
,suggestion,,,,inducing,,,,,,,,
,conclusion,,,,contributing,,,,,,,treats,
,finding,,,,affecting,,,,,,,treatment,
,indication,,,,causing,,,,,,,significantly,
,observing,,,,relating,,,,,,,,
,showing,,,,,,,,,,,ci,
,suggesting,,,,lower,,,,,,,,
,concluding,,,,lowering,,,,,,,,
,indicating,,,,,,,,,,,,
,supporting,,,,change,,,,,,,,
,,,,,changes,,,,,,,,
,observes,,,,associates,,,,,,,,
,shows,,,,induces,,,,,,,,
,suggests,,,,contributes,,,,,,,,
,concludes,,,,affects,,,,,,,,
,finds,,,,,,,,,,,,
,indicates,,,,causes,,,,,,,,
,supports,,,,relates,,,,,,,,
,evidences,,,,,,,,,,,,
,,,,,associations,,,,,,,,
,observed,,,,contributions,,,,,,,,
,showed,,,,relations,,,,,,,,
,suggested,,,,lowers,,,,,,,,
,concluded,,,,,,,,,,,,
,,,,,changed,,,,,,,,
,indicated,,,,associated,,,,,,,,
,supported,,,,induced,,,,,,,,
,evidenced,,,,contributed,,,,,,,,
,,,,,affected,,,,,,,,
,,,,,,,,,,,,,
,,,,,caused,,,,,,,,
,,,,,,,,,,,,,
,,,,,lowered,,,,,,,,
