pmid,litagion,harm,directionality
22071372,[UnknownCAS]_[perfluorobutanesulfonic acid],liver,1
22151885,[7440-43-9]_[Cadmium],renal,1
21996714,[7440-43-9]_[Cadmium],renal,1
22033168,[7440-43-9]_[Cadmium],renal,1
23338853,[7439-91-0]_[Lanthanum],neuro,1
22677472,[8018-01-7]_[mancozeb],any_congenital,1
23660487,[8018-01-7]_[mancozeb],neuro,1
23542819,[8018-01-7]_[mancozeb],neuro,1
22369882,[8018-01-7]_[mancozeb],reproductive,1
21601844,[375-95-1]_[perfluoro-n-nonanoic acid],any_congenital,2
15847332,[117-81-7]_[Diethylhexyl Phthalate],reproductive,1
15180380,[688-73-3]_[tributyltin],reproductive,1
20199221,[unknownCAS]_[rf not phone],cognitive,2
18163423,[unknownCAS]_[rf not phone],cognitive,2
16304699,[unknownCAS]_[rf not phone],cognitive,2
18439225,[unknownCAS]_[rf not phone],cognitive,2
434285,[127-18-4]_[tetrachloroethylene],reproductive_cancer,1
19799229,[7440-36-0]_[antimony],reproductive,1
112656,[1934-21-0]_[tartrazine],lung,1
128330,[50-00-0]_[formaldehyde],lung,1
22249857,[7439-96-5]_[Manganese],neuro,1
23220411,[1563-66-2]_[Carbofuran],neuro,1
22451311,[1563-66-2]_[Carbofuran],neuro,1
21499941,[unknownCAS]_[dietary salt],heart_chf,1
22383697,[unknownCAS]_[dietary salt],heart_chf,1
23558163,[unknownCAS]_[dietary salt],heart_ischemic,1
1282873,[18540-29-9]_[chromium hexavalent ion],renal,1
1283158,[80-62-6]_[methylmethacrylate],heart_other,1
12149491,[118-74-1]_[hexachlorobenzene],reproductive,1
1296107,[14807-96-6]_[talc],lung,1
1296419,[1934-21-0]_[tartrazine],lung,2
1306092,[unknownCAS]_[dietary salt],gastrointestinal_cancer,1
1306103,[71-43-2]_[benzene],hematologic_cancer,1
1314920,"[584-84-9]_[toluene 2,4-diisocyanate]",lung,1
1316879,"[584-84-9]_[toluene 2,4-diisocyanate]",lung,2
23473464,[74-83-9]_[methyl bromide],neuro,2
2039742,[18540-29-9]_[chromium hexavalent ion],ent_cancer,1
2044376,[131-57-7]_[oxybenzone],integument,1
2046625,[22839-47-0]_[aspartame],neuro,2
2047810,[80-62-6]_[methylmethacrylate],gastrointestinal_cancer,1
2050440,[688-73-3]_[tributyltin],lymphatic,1
2060806,[7440-48-4]_[cobalt],heart_other,1
2077699,[79-01-6]_[trichloroethylene],neuro,1
2097173,[117-81-7]_[Diethylhexyl Phthalate],liver_cancer,1
2112523,[117-81-7]_[diethylhexyl phthalate],liver_cancer,1
183168,[79-06-1]_[acrylamide],neuro,1
199229,"[584-84-9]_[toluene 2,4-diisocyanate]",lung,1
207961,"[584-84-9]_[toluene 2,4-diisocyanate]",lung,1
7797819,[1071-83-6]_[glyphosate],reproductive,1
314667,[7439-97-6]_[mercury],eye,1
318521,[7439-92-1]_[lead],any_congenital,1
17448548,[7439-92-1]_[lead],reproductive,1
7090005,[117-81-7]_[diethylhexyl phthalate],reproductive,1
1342271,[7440-43-9]_[cadmium],lung_cancer,1
1345214,[7440-43-9]_[cadmium],lung_cancer,2
1364340,[140-88-5]_[ethyl acrylate],gastrointestinal,1
6991713,[106-93-4]_[ethylene dibromide],reproductive,1
1376984,[18540-29-9]_[chromium hexavalent ion],hematologic,1
1380993,[60-51-5]_[dimethoate],any_congenital,2
1396605,[79-06-1]_[acrylamide],breast,1
1399020,[127-18-4]_[tetrachloroethylene],eye,1
1411122,[100-42-5]_[styrene],ear,1
1431929,[7440-48-4]_[cobalt],bonejoint,1
22446572,[7440-48-4]_[Cobalt],lung,1
22968693,[UnknownCAS]_[Aloe],gastrointestinal_cancer,1
3653576,[87-68-3]_[hexachlorobutadiene],renal,1
3676425,[7440-48-4]_[cobalt],bonejoint,1
3682276,[74-83-9]_[methyl bromide],neuro,1
3683629,[80-62-6]_[methylmethacrylate],lung,1
3689715,[7440-43-9]_[cadmium],lung_cancer,1
3690505,[117-81-7]_[Diethylhexyl Phthalate],liver_cancer,1
3694972,"[101-68-8]_[4,4'-diphenylmethane diisocyanate]",lung,1
3697828,[75-35-4]_[vinylidene chloride],lung,1
3699329,[111-77-3]_[diethylene glycol monomethyl ether],any_congenital,1
3699329,[111-77-3]_[diethylene glycol monomethyl ether],integument,1
3701879,[18540-29-9]_[chromium hexavalent ion],hematologic,1
19646514,[375-95-1]_[perfluoro-n-nonanoic acid],reproductive,1
2159501,[unknownCAS]_[dietary salt],heart_other,1
2194274,[74-83-9]_[methyl bromide],ent_other,1
2205495,"[106-99-0]_[1,3-butadiene]",any_congenital,2
2208114,[unknowncas]_[aloe emodin],liver,1
2216897,[unknownCAS]_[dietary salt],gastrointestinal_cancer,1
2219138,[688-73-3]_[tributyltin],lymphatic,1
2229779,[79-01-6]_[trichloroethylene],any_congenital,1
436529,[14807-96-6]_[talc],lung,1
17258271,[688-73-3]_[tributyltin],reproductive,1
23941636,"[600-14-6]_[2,3-pentanedione]",lung,1
22917524,[99-76-3]_[methylparaben],breast,2
23744433,[99-76-3]_[methylparaben],breast,1
23713084,[12427-38-2]_[Maneb],neuro,1
22334051,[12427-38-2]_[Maneb],neuro,1
4812631,[unknownCAS]_[dietary salt],vascular,1
6538161,[117-81-7]_[Diethylhexyl Phthalate],reproductive,2
4978480,[unknowncas]_[sugar],renal,1
5009212,[7439-97-6]_[mercury],renal,1
16513093,[688-73-3]_[tributyltin],reproductive,1
5026863,[7440-48-4]_[cobalt],eye,1
2447477,[74-83-9]_[methyl bromide],neuro,1
2449265,[UnknownCAS]_[Pyrethrins],neuro,1
2461448,[7439-91-0]_[lanthanum],any_congenital,1
2461605,[127-18-4]_[tetrachloroethylene],renal_cancer,1
2470165,[22839-47-0]_[aspartame],neuro,2
22182740,[688-73-3]_[tributyltin],reproductive,1
2523420,[unknownCAS]_[dietary salt],vascular,1
2525347,[unknownCAS]_[dietary salt],heart_other,1
2534413,[unknownCAS]_[dietary salt],heart_chf,1
2547915,"[584-84-9]_[toluene 2,4-diisocyanate]",lung,2
2548261,[127-18-4]_[tetrachloroethylene],neuro,1
2549529,[80-62-6]_[methylmethacrylate],heart_other,1
2568021,[117-81-7]_[diethylhexyl phthalate],any_congenital,2
